"driverid";"name";"path";"class";"subclass";"loc";"chipset";"has_recovery";"driver_types";"driver_ops";"basic_type";"bfactor";"cfactor";"bus_type"
"1";"braille";"drivers/accessibility/braille/braille_console.o";"accessibility";"braille";"448";"1";"0";"empty_type";"kernel_param_ops";"char";"1";"0";"empty_bus_type"
"2";"tables";"drivers/acpi/tables.o";"acpi";;"284";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"3";"blacklist";"drivers/acpi/blacklist.o";"acpi";;"87";"13";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"4";"osl";"drivers/acpi/osl.o";"acpi";;"1515";"1";"0";"acpi_core";"pv_lock_ops";"char";"0";"0";"acpi_device_id"
"5";"utils";"drivers/acpi/utils.o";"acpi";;"349";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"6";"reboot";"drivers/acpi/reboot.o";"acpi";;"46";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"7";"atomicio";"drivers/acpi/atomicio.o";"acpi";;"570";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"8";"wakeup";"drivers/acpi/wakeup.o";"acpi";;"62";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"9";"sleep";"drivers/acpi/sleep.o";"acpi";;"539";"8";"0";"acpi_core";"platform_hibernation_ops";"char";"0";"0";"acpi_device_id"
"10";"proc";"drivers/acpi/proc.o";"acpi";;"171";"1";"0";"acpi_core";"file_operations";"char";"0";"0";"acpi_device_id"
"11";"bus";"drivers/acpi/bus.o";"acpi";;"1161";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"12";"glue";"drivers/acpi/glue.o";"acpi";;"257";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"13";"scan";"drivers/acpi/scan.o";"acpi";;"1630";"1";"0";"acpi_core";"bus_type";"char";"0";"0";"acpi_device_id"
"14";"processor_core";"drivers/acpi/processor_core.o";"acpi";;"456";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"15";"ec";"drivers/acpi/ec.o";"acpi";;"1136";"6";"0";"acpi_core";"kernel_param_ops";"char";"1";"0";"acpi_device_id"
"16";"dock";"drivers/acpi/dock.o";"acpi";;"990";"1";"0";"acpi_core";"kernel_param_ops";"char";"1";"0";"acpi_device_id"
"17";"pci_root";"drivers/acpi/pci_root.o";"acpi";;"642";"2";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"18";"pci_link";"drivers/acpi/pci_link.o";"acpi";;"820";"2";"0";"acpi_core";"pv_irq_ops";"char";"0";"0";"acpi_device_id"
"19";"pci_irq";"drivers/acpi/pci_irq.o";"acpi";;"526";"1";"0";"acpi_core";"pv_lock_ops";"char";"0";"0";"acpi_device_id"
"20";"pci_bind";"drivers/acpi/pci_bind.o";"acpi";;"91";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
"21";"power";"drivers/acpi/power.o";"acpi";;"593";"2";"0";"acpi_core";"kernel_param_ops";"char";"1";"0";"acpi_device_id"
"22";"event";"drivers/acpi/event.o";"acpi";;"447";"1";"0";"acpi_core";"file_operations";"char";"0";"0";"acpi_device_id"
"23";"sysfs";"drivers/acpi/sysfs.o";"acpi";;"714";"1";"0";"acpi_core";"kernel_param_ops";"char";"8";"0";"acpi_device_id"
"24";"debugfs";"drivers/acpi/debugfs.o";"acpi";;"192";"1";"0";"acpi_core";"file_operations";"char";"1";"0";"acpi_device_id"
"25";"numa";"drivers/acpi/numa.o";"acpi";;"287";"1";"0";"acpi_core";"empty_ops";"char";"0";"0";"acpi_device_id"
